01a	これは、メキシコの水処理業界で、数々の奇跡を起こした、ある挑戦者の物語です。	これは、メキシコの水処理業界で数々の奇跡を起こした、ある挑戦者の物語です。	La historia de un luchador que logró numerosos milagros en la industria del tratamiento de agua en México.
01b	その始まりは、ベンジャミンさんが、エクイマールという水処理会社で、	その始まりは、ベンジャミンさんが、エクイマールという水処理会社で、	Su origen se remonta a la época en que Benjamin trabajaba en ventas
01c	営業をしていた頃までさかのぼります。	営業をしていた頃までさかのぼります。	en una empresa de tratamiento de agua llamada Eguimar.
02a	ある展示会で、ベンジャミンさんはヴァルートに出会います。	ある展示会で、ベンジャミンさんはVOLUTEに出会います。	En una exposición, Benjamin conoció VOLUTE.
02b	その画期的な機構と性能に、彼は大きな感銘を受けました。	その画期的な機構と性能に、彼は大きな感銘を受けました。	Su mecanismo innovador y su desempeño le causaron una profunda impresión.
03a	ヴァルートは、汚泥を効率よく脱水するための製品です。	VOLUTEは、汚泥を効率よく脱水するための製品です。	VOLUTE es un producto para deshidratar lodos de manera eficiente.
03b	ベンジャミンさんは、この製品が持つ可能性に強く魅了されました。	ベンジャミンさんは、この製品が持つ可能性に強く魅了されました。	Benjamin quedó profundamente fascinado por su potencial.
04a	それから彼は、各地で積極的な営業活動を展開します。	それから彼は、各地で積極的な営業活動を展開します。	Desde entonces, comenzó una intensa labor comercial en distintas regiones.
04b	お客様の現場を訪ね、ヴァルートの価値を一つひとつ伝えていきました。	お客様の現場を訪ね、VOLUTEの価値を一つひとつ伝えていきました。	Visitaba a los clientes en sus instalaciones y comunicaba, paso a paso, el valor de VOLUTE.
05a	しかし、当時勤めていたエクイマールでは、上司からこう言われます。	しかし、当時勤めていたエクイマールでは、上司からこう言われます。	Sin embargo, en Eguimar, donde trabajaba entonces, su jefe le dijo:
05b	「似たような中国品は半額以下で売れる。会社として中国製をメインに扱おう」。	「似たような中国品は半額以下で売れる。会社として中国製をメインに扱おう」。	“Un producto chino similar puede venderse por menos de la mitad. Como empresa, enfoquémonos en productos chinos”.
05c	ベンジャミンさんは反発しました。	ベンジャミンさんは反発しました。	Benjamin no estuvo de acuerdo.
05d	「本当にお客様を満足させるためには、オリジナルである日本製を売るべきだ」と考えたのです。	「本当にお客様を満足させるためには、オリジナルである日本製を売るべきだ」と考えたのです。	Pensaba que, para satisfacer realmente a los clientes, debía venderse el producto original japonés.
06a	それでも、会社の方針は変わりませんでした。	それでも、会社の方針は変わりませんでした。	Aun así, la política de la empresa no cambió.
06b	ベンジャミンさんは会社を辞め、一人でヴァルートを売るために起業することを決意します。	ベンジャミンさんは会社を辞め、一人でVOLUTEを売るために起業することを決意します。	Benjamin decidió renunciar y emprender por su cuenta para vender VOLUTE.
06c	二千十八年のことでした。	2018年のことでした。	Eso ocurrió en 2018.
07a	しかし、そのとき彼の銀行口座には、たった二十万円しかありませんでした。	しかし、そのとき彼の銀行口座には、たった20万円しかありませんでした。	Pero en ese momento, en su cuenta bancaria solo tenía 200 mil yenes.
07b	彼はその半分を使い、十万円の古いトラックを買いました。	彼はその半分を使い、10万円の古いトラックを買いました。	Usó la mitad de ese dinero para comprar una camioneta vieja de 100 mil yenes.
08a	そのトラックは、決して立派なものではありませんでした。	そのトラックは、決して立派なものではありませんでした。	Aquella camioneta no era lujosa.
08b	それでもベンジャミンさんにとっては、ヴァルートを届けるための大切な相棒でした。	それでもベンジャミンさんにとっては、VOLUTEを届けるための大切な相棒でした。	Pero para Benjamin se convirtió en una compañera indispensable para llevar VOLUTE a los clientes.
09a	彼はトラックの荷台にデモ機のヴァルートを載せ、メキシコ各地を回りました。	彼はトラックの荷台にデモ機のVOLUTEを載せ、メキシコ各地を回りました。	Cargó una unidad de demostración de VOLUTE en la camioneta y recorrió distintas regiones de México.
09b	お客様のもとへ足を運び、ヴァルートの素晴らしさを直接伝え続けました。	お客様のもとへ足を運び、VOLUTEの素晴らしさを直接伝え続けました。	Visitaba a los clientes y les transmitía directamente las ventajas de VOLUTE.
10a	現場では、数々のお客様を回り、デモンストレーションを続けました。	現場では、数々のお客様を回り、デモンストレーションを続けました。	En campo, visitó a numerosos clientes y continuó realizando demostraciones.
